"Notes"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"White"	"2106-3"	"Female"	"F"	"35-39 years"	"35-39"	55952	40026116	139.8
	"White"	"2106-3"	"Female"	"F"	"40-44 years"	"40-44"	69780	37845254	184.4
	"White"	"2106-3"	"Female"	"F"	"45-49 years"	"45-49"	99060	37837531	261.8
	"White"	"2106-3"	"Female"	"F"	"50-54 years"	"50-54"	155264	40028008	387.9
	"White"	"2106-3"	"Female"	"F"	"55-59 years"	"55-59"	253793	43230493	587.1
	"White"	"2106-3"	"Female"	"F"	"60-64 years "	"60-64"	368834	42948272	858.8
	"White"	"2106-3"	"Female"	"F"	"65-69 years"	"65-69"	465558	38211099	1218.4
	"White"	"2106-3"	"Female"	"F"	"70-74 years"	"70-74"	614352	32114859	1913.0
	"White"	"2106-3"	"Female"	"F"	"75-79 years"	"75-79"	730658	22944879	3184.4
	"White"	"2106-3"	"Female"	"F"	"80-84 years"	"80-84"	844724	15413510	5480.4
	"White"	"2106-3"	"Male"	"M"	"< 1 year"	"1"	34252	6681403	512.6
	"White"	"2106-3"	"Male"	"M"	"1-4 years"	"1-4"	6788	27880291	24.3
	"White"	"2106-3"	"Male"	"M"	"5-9 years"	"5-9"	4193	36669781	11.4
	"White"	"2106-3"	"Male"	"M"	"10-14 years"	"10-14"	6812	38658196	17.6
	"White"	"2106-3"	"Male"	"M"	"15-19 years"	"15-19"	27297	39847514	68.5
	"White"	"2106-3"	"Male"	"M"	"20-24 years"	"20-24"	54105	40941882	132.2
	"White"	"2106-3"	"Male"	"M"	"25-29 years"	"25-29"	76213	42619516	178.8
	"White"	"2106-3"	"Male"	"M"	"30-34 years"	"30-34"	96152	42553305	226.0
	"White"	"2106-3"	"Male"	"M"	"35-39 years"	"35-39"	112882	41640626	271.1
	"White"	"2106-3"	"Male"	"M"	"40-44 years"	"40-44"	129614	39050020	331.9
	"White"	"2106-3"	"Male"	"M"	"45-49 years"	"45-49"	170410	38514142	442.5
	"White"	"2106-3"	"Male"	"M"	"50-54 years"	"50-54"	262177	40409849	648.8
	"White"	"2106-3"	"Male"	"M"	"55-59 years"	"55-59"	416927	42404550	983.2
	"White"	"2106-3"	"Male"	"M"	"60-64 years "	"60-64"	584200	40960534	1426.3
	"White"	"2106-3"	"Male"	"M"	"65-69 years"	"65-69"	691472	35095630	1970.3
	"White"	"2106-3"	"Male"	"M"	"70-74 years"	"70-74"	810777	28524780	2842.4
	"White"	"2106-3"	"Male"	"M"	"75-79 years"	"75-79"	864134	19152376	4511.9
	"White"	"2106-3"	"Male"	"M"	"80-84 years"	"80-84"	864394	11628490	7433.4
	"More than one race"	"M"	"Female"	"F"	"< 1 year"	"1"	2068	587142	352.2
	"More than one race"	"M"	"Female"	"F"	"1-4 years"	"1-4"	356	2375151	15.0
	"More than one race"	"M"	"Female"	"F"	"5-9 years"	"5-9"	215	2962129	7.3
	"More than one race"	"M"	"Female"	"F"	"10-14 years"	"10-14"	247	2814564	8.8
	"More than one race"	"M"	"Female"	"F"	"15-19 years"	"15-19"	520	2420480	21.5
	"More than one race"	"M"	"Female"	"F"	"20-24 years"	"20-24"	805	2147546	37.5
	"More than one race"	"M"	"Female"	"F"	"25-29 years"	"25-29"	918	1883775	48.7
	"More than one race"	"M"	"Female"	"F"	"30-34 years"	"30-34"	989	1548754	63.9
	"More than one race"	"M"	"Female"	"F"	"35-39 years"	"35-39"	1146	1323319	86.6
	"More than one race"	"M"	"Female"	"F"	"40-44 years"	"40-44"	1201	1131731	106.1
	"More than one race"	"M"	"Female"	"F"	"45-49 years"	"45-49"	1389	952386	145.8
	"More than one race"	"M"	"Female"	"F"	"50-54 years"	"50-54"	1735	832170	208.5
	"More than one race"	"M"	"Female"	"F"	"55-59 years"	"55-59"	2416	771910	313.0
	"More than one race"	"M"	"Female"	"F"	"60-64 years "	"60-64"	3020	676717	446.3
	"More than one race"	"M"	"Female"	"F"	"65-69 years"	"65-69"	3268	522327	625.7
	"More than one race"	"M"	"Female"	"F"	"70-74 years"	"70-74"	3658	383666	953.4
	"More than one race"	"M"	"Female"	"F"	"75-79 years"	"75-79"	3589	252345	1422.3
	"More than one race"	"M"	"Female"	"F"	"80-84 years"	"80-84"	3553	158850	2236.7
	"More than one race"	"M"	"Male"	"M"	"< 1 year"	"1"	2573	611900	420.5
	"More than one race"	"M"	"Male"	"M"	"1-4 years"	"1-4"	474	2478946	19.1
	"More than one race"	"M"	"Male"	"M"	"5-9 years"	"5-9"	237	3094045	7.7
	"More than one race"	"M"	"Male"	"M"	"10-14 years"	"10-14"	315	2921077	10.8
	"More than one race"	"M"	"Male"	"M"	"15-19 years"	"15-19"	1072	2491712	43.0
	"More than one race"	"M"	"Male"	"M"	"20-24 years"	"20-24"	1838	2206843	83.3
	"More than one race"	"M"	"Male"	"M"	"25-29 years"	"25-29"	2129	1892322	112.5
	"More than one race"	"M"	"Male"	"M"	"30-34 years"	"30-34"	2039	1471306	138.6
	"More than one race"	"M"	"Male"	"M"	"35-39 years"	"35-39"	1919	1220217	157.3
	"More than one race"	"M"	"Male"	"M"	"40-44 years"	"40-44"	1953	1032718	189.1
	"More than one race"	"M"	"Male"	"M"	"45-49 years"	"45-49"	2200	860360	255.7
	"More than one race"	"M"	"Male"	"M"	"50-54 years"	"50-54"	2785	754664	369.0
	"More than one race"	"M"	"Male"	"M"	"55-59 years"	"55-59"	3547	691944	512.6
	"More than one race"	"M"	"Male"	"M"	"60-64 years "	"60-64"	4326	606060	713.8
	"More than one race"	"M"	"Male"	"M"	"65-69 years"	"65-69"	4457	456649	976.0
	"More than one race"	"M"	"Male"	"M"	"70-74 years"	"70-74"	4249	325699	1304.6
	"More than one race"	"M"	"Male"	"M"	"75-79 years"	"75-79"	3966	201309	1970.1
	"More than one race"	"M"	"Male"	"M"	"80-84 years"	"80-84"	3391	118790	2854.6
"---"
"Dataset: Underlying Cause of Death, 2018-2023, Single Race"
"Query Parameters:"
"Five-Year Age Groups: < 1 year; 1-4 years; 5-9 years; 10-14 years; 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39"
"years; 40-44 years; 45-49 years; 50-54 years; 55-59 years; 60-64 years ; 65-69 years; 70-74 years; 75-79 years; 80-84 years"
"Year/Month: 2018; 2019; 2020; 2021; 2022"
"Group By: Single Race 6; Sex; Five-Year Age Groups"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 27, 2025 7:26:08 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,"
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 27, 2025 7:26:08 PM"
"---"
Messages:
"1. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
"1. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"3. The population figures for years 2023 are single-race estimates of the July 1 resident population, from the Vintage 2023"
"postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for years 2022 are single-race estimates of the July 1"
"resident population, from the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is"
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The"
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic"
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2021 are"
"single-race estimates of the July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of"
"the April 1, 2020 decennial population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30,"
"2022. The population figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series based on April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year"
"2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010"
"Census, released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the"
"July 1 resident population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on"
"June 20, 2019. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"5. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Connecticut-2022."
"6. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
